PassengerId,Survived
1163,0.4527457
1164,0.99367976
1165,0.97738236
1166,0.3920976
1167,0.98919594
1168,0.3958909
1169,0.3073377
1170,0.31349564
1171,0.454882
1172,0.93136936
1173,0.9366328
1174,0.96219605
1175,0.9857561
1176,0.9787451
1177,0.3564656
1178,0.3722567
1179,0.73244125
1180,0.9992816
1181,0.37213168
1182,0.40862983
1183,0.9622084
1184,0.39209643
1185,0.3553703
1186,0.35656288
1187,0.38396233
1188,0.9981396
1189,0.26341638
1190,0.40404463
1191,0.3749575
1192,0.36667123
1193,0.82329875
1194,0.36249128
1195,0.39130154
1196,0.96219605
1197,0.99585414
1198,0.37900838
1199,0.9574164
1200,0.6311949
1201,0.9491169
1202,0.42234814
1203,0.45121455
1204,0.3722059
1205,0.9607392
1206,0.9868283
1207,0.97452503
1208,0.80076367
1209,0.5300561
1210,0.38053134
1211,0.26225182
1212,0.38399693
1213,0.99948066
1214,0.99812955
1215,0.39737228
1216,0.9954711
1217,0.39549953
1218,0.99998343
1219,0.38240057
1220,0.3143259
1221,0.4720598
1222,0.9716556
1223,0.6709338
1224,0.3920976
1225,0.9695109
1226,0.38052478
1227,0.7947859
1228,0.3798324
1229,0.3842967
1230,0.40117708
1231,0.92459744
1232,0.5632467
1233,0.36670166
1234,0.39685145
1235,0.9984617
1236,0.8857557
1237,0.9503576
1238,0.40512535
1239,0.9321874
1240,0.41766834
1241,0.97746974
1242,0.9985347
1243,0.4127346
1244,0.4258855
1245,0.3149475
1246,0.98041326
1247,0.99972945
1248,0.9888649
1249,0.37215835
1250,0.4527457
1251,0.9448448
1252,0.14221685
1253,0.99205583
1254,0.97746974
1255,0.38040388
1256,0.9999995
1257,0.85450065
1258,0.31797054
1259,0.9246935
1260,0.9952754
1261,0.45560142
1262,0.33015394
1263,0.99999845
1264,0.3948253
1265,0.35523906
1266,0.99595416
1267,0.9973009
1268,0.9449408
1269,0.47499594
1270,0.44205412
1271,0.37812388
1272,0.4527457
1273,0.49211708
1274,0.90465766
1275,0.9436515
1276,0.38684934
1277,0.9815757
1278,0.3915581
1279,0.34050307
1280,0.5849445
1281,0.6253698
1282,0.69687897
1283,0.99752027
1284,0.90426004
1285,0.35184854
1286,0.21716462
1287,0.992396
1288,0.5232737
1289,0.997738
1290,0.39984953
1291,0.45120683
1292,0.9826912
1293,0.30893195
1294,0.9985399
1295,0.7592814
1296,0.9534638
1297,0.9169411
1298,0.3259002
1299,0.35887957
1300,0.9621964
1301,0.9785943
1302,0.96219605
1303,0.9957984
1304,0.91449964
1305,0.37213168
1306,0.986497
1307,0.35240155
1308,0.37213165
1309,0.91218615
